accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5371811623502373,33,30,28,48,47,6,pca,norm
0.44327254155050966,163,1,10,36,5,18,ica,norm
0.5771300887403971,77,19,8,37,10,2,pca,rb
0.593175714498521,78,13,4,30,8,11,ica,rb
0.5459292204890298,375,19,28,12,45,2,ica,norm
0.5348496520610329,146,5,3,47,45,13,pca,std
0.5759622055287184,402,25,25,45,1,15,pca,pt
0.5581779489689515,326,25,30,48,28,11,ica,rb
0.4817726798748696,430,2,27,30,5,12,pca,norm
0.5538047711263859,60,16,8,49,33,12,ica,rb
0.515311017003256,432,3,12,37,49,17,pca,std
0.5599250920389011,500,17,28,22,24,14,pca,std
0.5657589751228959,25,9,20,47,6,14,pca,std
0.542720095337405,268,16,2,35,42,18,ica,rb
0.4496873869464365,394,2,1,14,36,19,ica,mx
0.5678023451299186,253,15,9,4,22,4,ica,std
0.5995888574407865,442,11,14,25,3,4,ica,std
0.5759681641165331,20,10,24,35,4,4,pca,pt
0.5823825838990444,269,7,24,7,1,11,pca,std
0.5780077036028176,497,22,25,22,15,2,pca,std
0.5333910748866805,379,4,29,33,1,12,ica,rb
0.5733421293439169,419,26,9,30,20,13,pca,mx
0.580635440829095,365,9,17,10,12,12,pca,mx
0.5473895001170437,431,12,13,39,49,6,pca,mx
0.5663420655019046,77,20,30,24,21,8,ica,mx
0.5470954012470474,225,28,3,7,50,20,pca,rb
0.5491353663467472,291,16,7,37,37,5,pca,rb
0.5453474069502671,410,9,1,15,18,8,pca,norm
0.44327254155050966,313,1,20,16,17,12,pca,norm
0.6299159413504714,289,26,21,8,4,3,pca,pt
0.5164674086527208,66,28,22,13,35,12,ica,pt
0.5202579217296929,304,29,23,31,30,6,ica,pt
0.5855887297567619,98,21,8,23,13,16,ica,std
0.5602204677491435,416,16,26,45,30,19,ica,mx
0.5021812687535911,124,2,27,25,4,14,ica,rb
0.5587610393479603,442,13,11,38,31,16,pca,mx
0.5351403460237066,13,16,3,10,44,19,pca,pt
0.550015960503075,135,13,8,2,39,4,ica,rb
0.5823804558319677,142,19,19,38,10,13,ica,rb
0.6199991487731692,300,21,6,4,5,20,ica,mx
0.6299159413504714,289,26,21,8,4,3,pca,pt
0.629629503521951,110,22,10,9,1,9,pca,pt
0.6313762209784852,203,20,18,14,2,11,ica,rb
0.6138771254069928,330,17,18,4,5,14,pca,pt
0.6100849098763594,198,27,14,16,7,3,pca,std
0.6019207933434062,185,14,20,15,6,19,ica,rb
0.6039628865101827,346,17,22,2,7,11,pca,mx
0.5899682918005575,442,11,14,25,3,4,ica,std
0.5995888574407864,441,23,10,9,8,14,pca,pt
0.6036738950011704,327,22,23,21,8,12,ica,mx
0.6036700644804325,159,25,12,28,1,15,ica,std
0.5882156157562087,78,13,4,30,8,11,ica,rb
0.5949232831818859,70,14,13,24,5,8,ica,rb
0.5928790619480326,119,25,22,25,9,2,pca,std
0.5858824030133429,293,17,10,26,10,11,ica,norm
0.5917120299631844,31,22,9,17,4,12,ica,mx
0.5858807005596817,294,27,2,28,10,9,ica,mx
0.5955038198804027,278,23,20,25,9,11,ica,mx
0.583547487816816,138,17,25,4,14,12,ica,rb
0.5864642165521057,120,22,6,32,4,8,pca,std
0.5861688408418633,98,21,8,23,13,16,ica,std
0.5850039369240918,444,10,30,28,3,11,pca,norm
0.582965248664638,436,22,11,18,15,3,ica,rb
0.5844272307463131,446,30,16,16,13,3,pca,mx
0.5809274116320147,378,8,30,29,6,6,ica,std
0.584423400225575,394,30,10,20,12,14,pca,pt
0.583258921921219,198,10,7,9,11,9,pca,std
0.5855900065970079,112,27,24,37,6,20,ica,std
0.5826762571556255,210,8,23,17,6,6,pca,mx
0.5823825838990444,269,7,24,7,1,11,pca,std
0.5771351961013811,142,19,19,38,10,13,ica,rb
0.5823796046051373,450,18,29,38,2,11,pca,norm
0.581218956821519,51,12,28,6,13,9,pca,pt
0.5815096507841927,361,11,7,33,16,12,ica,mx
0.580635440829095,365,9,17,10,12,12,pca,mx
0.5806286310144495,145,27,11,3,12,11,pca,norm
0.58034304441276,307,29,29,41,6,20,pca,mx
0.5800493711561788,58,21,24,10,12,15,pca,std
0.5803421931859292,252,8,10,30,3,4,ica,std
0.5780077036028176,497,22,25,22,15,2,pca,std
0.5771300887403971,77,19,8,37,10,2,pca,rb
0.5739252197229258,493,13,15,17,17,11,ica,norm
0.5759681641165331,20,10,24,35,4,4,pca,pt
0.5747990040646082,63,19,24,36,16,5,ica,std
0.5759622055287184,402,25,25,45,1,15,pca,pt
0.5756753420867826,202,18,24,6,15,11,pca,mx
0.5733429805707476,221,28,1,41,4,14,ica,mx
0.5753842225106937,224,14,20,2,16,9,pca,mx
0.5753816688302016,68,9,25,35,7,13,pca,pt
0.5791747355876657,113,20,23,46,14,18,ica,mx
0.574218041752676,126,28,8,46,18,11,pca,mx
0.573926922176587,142,10,25,14,18,3,pca,mx
0.5733425549573322,206,26,29,20,15,12,pca,pt
0.5733421293439169,419,26,9,30,20,13,pca,mx
0.5727569108978315,483,14,13,45,1,13,pca,norm
0.5724649400949119,81,17,17,24,14,17,pca,norm
0.5619705901130004,376,7,10,38,19,10,ica,rb
