accuracy,C,kernel,degree,n_comp,dim_red,scaler
0.45347960247707003,0.30000000000000004,poly,9,10,pca,norm
0.5144304228469282,7.9,linear,4,4,ica,norm
0.464854121001894,2.5,poly,4,3,ica,pt
0.559632695622566,9.799999999999999,rbf,5,20,pca,rb
0.4001157668489711,3.1,sigmoid,7,3,ica,pt
0.41936243110382837,4.8,sigmoid,8,3,ica,mx
0.5129684407652529,1.9000000000000001,poly,9,8,pca,pt
0.5736349513736674,9.5,rbf,4,3,ica,mx
0.559632695622566,9.799999999999999,rbf,5,20,pca,rb
0.5392194249962758,4.3,poly,5,7,ica,std
0.568679959992339,4.699999999999999,rbf,5,8,ica,rb
0.42403013342980567,6.500000000000001,sigmoid,10,8,ica,norm
0.4870145346981337,9.799999999999999,poly,8,9,ica,norm
0.4336506990700347,2.6,sigmoid,2,20,ica,norm
