accuracy,n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.6342946521674364,198,0.17333333333333334,7,9,11,9,pca,std
0.6331250665020962,432,0.049595959595959596,12,37,49,17,pca,std
0.6310855270158114,25,0.14363636363636362,20,47,6,14,pca,std
0.6342946521674364,198,0.17333333333333334,7,9,11,9,pca,std
0.6185426996658935,379,0.0693939393939394,29,33,1,12,ica,rb
0.5249486071800984,419,0.4307070707070707,9,30,20,13,pca,mx
0.4277878742737971,365,0.15353535353535352,17,10,12,12,pca,mx
0.610669277095614,431,0.19808080808080808,13,39,49,6,pca,mx
0.6097937903002703,77,0.32181818181818184,30,24,21,8,ica,mx
0.5946287586984742,225,0.45545454545454545,3,7,50,20,pca,rb
0.6153408099423293,291,0.25747474747474747,7,37,37,5,pca,rb
0.5173509821029559,410,0.15353535353535352,1,15,18,8,pca,norm
0.6232116788321168,313,0.02484848484848485,20,16,17,12,pca,norm
0.627000915068843,289,0.4307070707070707,21,8,4,3,pca,pt
0.4070894426592327,66,0.46535353535353535,22,13,35,12,ica,pt
0.2714996488689324,304,0.48515151515151517,23,31,30,6,ica,pt
0.6109646528058564,98,0.35151515151515156,8,23,13,16,ica,std
0.5383643676448682,416,0.25747474747474747,26,45,30,19,ica,mx
0.6173748164542147,124,0.0396969696969697,27,25,4,14,ica,rb
0.6097976208210083,442,0.207979797979798,11,38,31,16,pca,mx
0.541263646230129,13,0.2673737373737374,3,10,44,19,pca,pt
0.6118367346938776,135,0.2178787878787879,8,2,39,4,ica,rb
0.6077525483603243,142,0.3168686868686869,19,38,10,13,ica,rb
0.6208763380221745,454,0.04464646464646464,22,25,1,8,ica,rb
0.6106743844565982,18,0.2723232323232323,27,16,48,20,pca,norm
0.6234998191142985,164,0.2822222222222222,11,6,26,18,ica,norm
0.6199995743865847,184,0.09414141414141414,20,42,27,5,ica,std
0.5211700112787555,284,0.3564646464646465,7,10,40,16,ica,norm
0.6179647166478687,228,0.13373737373737374,25,28,33,4,pca,norm
0.6170849737183717,201,0.10404040404040403,18,30,1,14,ica,norm
0.5730459024068439,65,0.08424242424242424,3,9,10,19,pca,rb
0.6162099125364431,182,0.16838383838383839,12,28,40,7,pca,mx
0.4683982039113873,234,0.19808080808080808,12,33,26,5,pca,norm
0.6077376518907875,139,0.21292929292929294,8,46,24,5,ica,pt
0.6237892362367262,26,0.1386868686868687,26,38,8,18,pca,rb
0.6010440297078163,10,0.0693939393939394,22,4,7,15,ica,rb
0.6025055861760762,177,0.33171717171717174,14,2,7,13,pca,mx
0.6065897725096295,17,0.3168686868686869,23,15,35,20,pca,rb
0.627000915068843,289,0.4307070707070707,21,8,4,3,pca,pt
0.6237892362367262,26,0.1386868686868687,26,38,8,18,pca,rb
0.567468664212296,164,0.2822222222222222,11,6,26,18,ica,norm
0.6232116788321168,313,0.02484848484848485,20,16,17,12,pca,norm
0.624081207039646,454,0.04464646464646464,22,25,1,8,ica,rb
0.6194126534868378,184,0.09414141414141414,20,42,27,5,ica,std
0.6156280989976805,379,0.0693939393939394,29,33,1,12,ica,rb
0.6179647166478687,228,0.13373737373737374,25,28,33,4,pca,norm
0.6214564491072758,124,0.0396969696969697,27,25,4,14,ica,rb
0.6310821221084889,201,0.10404040404040403,18,30,1,14,ica,norm
0.6162099125364431,182,0.16838383838383839,12,28,40,7,pca,mx
0.6264156966227576,201,0.10404040404040403,18,30,1,14,ica,norm
0.627000915068843,289,0.4307070707070707,21,8,4,3,pca,pt
0.6176659360303037,454,0.04464646464646464,22,25,1,8,ica,rb
0.627000915068843,289,0.4307070707070707,21,8,4,3,pca,pt
0.6150424549381797,211,0.2475757575757576,14,43,20,18,ica,norm
0.5847145198016641,172,0.4950505050505051,7,45,44,5,ica,mx
0.5456491668617395,115,0.45545454545454545,24,22,35,20,ica,rb
